year,month,day,hour,min,sec,lat,,latM,latMd,long,,longM,longMd,depth,mag
2008,2,3,13,42,836,53,N,50,42,166,W,31,27,1010,13
2008,2,3,18,6,1260,61,N,30,79,151,W,59,47,566,9
2008,2,3,23,55,1401,61,N,20,58,152,W,14,31,0,-3
2008,2,4,2,34,1782,58,N,39,4,154,W,44,3,805,12
2008,2,4,5,48,3858,58,N,14,39,155,W,9,39,210,8
2008,2,4,6,2,2221,53,N,52,49,166,W,54,28,565,12
2008,2,4,14,7,4168,58,N,10,30,155,W,21,41,0,15
2008,2,4,14,21,3002,58,N,14,11,155,W,8,62,0,-3
2008,2,4,15,18,2028,58,N,9,49,154,W,43,46,897,14
2008,2,4,15,18,4339,58,N,10,0,154,W,44,97,924,11
2008,2,4,19,17,780,58,N,13,96,155,W,7,94,259,13
2008,2,5,4,32,5523,58,N,11,40,155,W,17,93,0,8
2008,2,5,6,42,5218,58,N,11,54,155,W,16,63,518,11
2008,2,5,6,43,1969,58,N,11,80,155,W,15,89,326,9
2008,2,5,9,56,4314,61,N,18,20,152,W,12,37,466,9
2008,2,5,15,38,3460,54,N,3,68,165,W,41,23,1745,17
2008,2,5,18,55,3643,61,N,17,2,152,W,18,49,397,4
2008,2,5,20,6,879,61,N,9,85,152,W,20,31,562,-1
2008,2,6,0,54,2823,60,N,59,76,152,W,23,33,1272,2
2008,2,6,3,30,4779,61,N,19,85,152,W,10,81,1300,5
2008,2,6,3,58,4907,60,N,1,89,153,W,3,31,0,7
2008,2,6,7,33,4316,58,N,15,92,154,W,56,90,0,2
2008,2,6,8,16,5578,60,N,42,40,152,W,41,14,1213,12
2008,2,6,11,49,2504,62,N,,30,144,W,11,62,68,10
2008,2,6,16,4,3875,58,N,18,25,154,W,53,20,295,5
2008,2,6,16,14,913,58,N,19,42,154,W,53,95,126,8
2008,2,6,22,11,3865,58,N,17,32,154,W,58,41,0,3
2008,2,7,0,7,243,58,N,17,29,154,W,58,68,0,3
2008,2,7,1,49,1226,58,N,14,49,155,W,7,95,0,2
2008,2,7,2,10,2136,58,N,10,68,155,W,24,10,0,4
2008,2,7,15,41,5413,58,N,14,54,155,W,8,95,0,3
2008,2,7,16,53,1271,60,N,6,94,152,W,50,83,1087,8
2008,2,7,17,12,606,61,N,30,68,151,W,59,48,525,7
2008,2,7,17,16,1421,60,N,6,83,152,W,50,72,1075,9
2008,2,7,17,16,1948,60,N,6,92,152,W,50,7,1019,12
2008,2,7,18,35,3703,58,N,14,64,155,W,8,99,0,3
2008,2,7,20,5,4632,54,N,36,66,163,W,30,85,453,15
2008,2,7,20,45,2331,58,N,14,84,155,W,8,43,161,10
2008,2,8,1,21,2289,59,N,21,53,153,W,26,7,0,-5
2008,2,8,2,59,1287,58,N,11,30,155,W,17,15,274,3
2008,2,8,3,54,2135,58,N,10,49,155,W,24,8,123,6
2008,2,8,4,24,2021,58,N,10,44,155,W,23,65,0,4
2008,2,8,5,5,205,58,N,11,35,155,W,24,85,0,4
2008,2,8,5,44,4919,61,N,31,5,152,W,,75,525,12
2008,2,8,12,32,1711,58,N,14,54,155,W,8,1,0,5
2008,2,8,12,53,2392,51,N,53,54,177,W,15,70,546,7
2008,2,8,14,55,2669,61,N,11,92,152,W,17,99,556,-5
2008,2,8,15,51,2699,58,N,17,0,154,W,59,6,0,2
2008,2,8,15,59,3826,59,N,21,65,153,W,25,52,0,-1
2008,2,8,16,56,1862,61,N,11,54,152,W,15,25,564,0
2008,2,8,18,34,4603,58,N,10,64,155,W,20,9,206,11
2008,2,8,22,30,3047,54,N,36,38,163,W,31,87,493,4
2008,2,9,3,15,1734,52,N,20,87,174,W,8,99,723,13
2008,2,9,5,57,5825,54,N,37,36,163,W,32,14,518,17
2008,2,9,6,10,3665,58,N,10,96,155,W,18,95,0,0
2008,2,9,8,0,487,54,N,23,20,164,W,27,93,305,19
2008,2,9,8,9,793,52,N,,54,176,W,2,67,515,0
2008,2,9,8,39,5844,57,N,57,89,155,W,23,98,983,12
2008,2,9,11,7,3210,61,N,3,69,152,W,17,74,1552,5
2008,2,9,11,38,5615,58,N,11,14,155,W,17,10,214,7
2008,2,9,13,40,2301,58,N,14,43,155,W,7,90,0,2
2008,2,9,17,16,5638,58,N,14,8,155,W,9,2,0,5
2008,2,9,19,7,3939,57,N,42,6,155,W,55,9,886,21
2008,2,10,0,15,619,54,N,36,23,163,W,31,40,274,12
2008,2,10,0,28,1453,58,N,14,41,155,W,8,73,0,3
2008,2,10,1,24,5077,58,N,20,81,154,W,45,22,327,9
2008,2,10,3,44,3998,53,N,14,1,168,W,22,34,231,17
2008,2,10,13,18,227,60,N,33,40,152,W,36,74,603,2
